Key;Russian;English;Tatar;Chuvash
DebugSavingCache;Сохраняю кэш в: {0};Saving cache to: {0};Кэш саклана: {0};Отладка Сохранени Кэш
StatusError;Ошибка;Error;Хата;Йӑнӑш
ErrorImportFailed;Ошибка при импорте данных. Операция прервана. Подробности записаны в журнал ошибок.;Error importing data. The operation was canceled. Details were written to the error log.;Мәгълүмат импортлау вакытында хата. Операция туктатылды. Тулырак мәгълүмат хаталар журналына язылды.;Йӑнӑш Импорт Ӑнӑҫмарӗ
ErrorCreateShipment;Не удалось оформить отгрузку.;Failed to create shipment.;Отгрузканы рәсмиләштереп булмады.;Ӑсату хатӗрлеме пулмарӗ.
ErrorAutoWriteOff;Ошибка при автоматическом списании просроченных товаров.к.;Error during automatic write-off of expired products.;Яраклылык срогы чыккан товарларны автоматик списание вакытында хата.;Йӑнӑш: вӑхӑт иртнӗ товарсене автоматлӑ списани тума
ErrorCurrencyFixed;Нельзя изменить валюту после добавления позиций в поставку.;Currency cannot be changed after items were added to the supply.;Поставкага позицияләр өстәгәннән соң валютаны үзгәртеп булмый.;Поставкӑна позицийсем хушсан валютӑна улӑштарма юрамасть.
ErrorExpiryDateRequired;Срок годности не может быть в прошлом;Expiration date cannot be in the past;Яраклылык срогы үткән дата була алмый;Юрӑхлӑх вӑхӑчӗ иртнӗ пулма пултараймасть
ErrorExpiryDateExceedsProduct;Срок годности в поставке не может превышать срок годности товара ({0});The supply expiration date cannot exceed the product expiration date ({0});Поставкадагы яраклылык срогы товарның яраклылык срогыннан ({0}) артык була алмый;Йӑнӑш Юрӑхлӑх Дата иртет Товар
ErrorNoExpiryDateAllowed;У выбранного товара нет срока годности. Поле даты должно быть пустым.;The selected product has no expiration date. The date field must be empty.;Сайланган товарның яраклылык срогы юк. Дата кыры буш булырга тиеш.;Йӑнӑш ҫук Юрӑхлӑх Дата юрать
ErrorAddCategory;Не удалось добавить категорию. Попробуйте позже.;Failed to add category. Try again later.;Категорияне өстәп булмады. Соңрак кабатлап карагыз.;Категори хушма пулмарӗ. Кайран тӑрӑшса пӑхӑр.
ErrorAddProduct;Ошибка при добавлении товара;Error adding product;Товар өстәү вакытында хата;Товар хушнӑ чух йӑнӑш
ErrorAuthFailed;Ошибка при входе в систему;Login error;Системага керү вакытында хата;Системӑна кӗнӗ чух йӑнӑш
ErrorAuthInvalid;Неверный логин или пароль!;Invalid login or password!;Логин яки серсүз дөрес түгел!;Логин е пароль тӗрӗс мар!
ErrorCannotDeleteCategoryWithShipments;"Невозможно удалить категорию, так как некоторые товары используются в отгрузках.
Сначала удалите связанные отгрузки.";"Cannot delete the category because some products are used in shipments.
Delete the related shipments first.";"Категорияне бетереп булмый, чөнки кайбер товарлар отгрузкаларда кулланыла.
Башта бәйле отгрузкаларны бетерегез.";Категорине катӑртма май ҫук, мӗншӗн тесен хӑш-пӗр товарсем ӑсатусемпе усӑ кураҫҫӗ.
ErrorCategoryExists;Категория с таким названием уже существует!;A category with this name already exists!;Мондый исемле категория инде бар!;Ҫак ятпа категори пур ӗнтӗ!
ErrorCategoryNotFound;Категория не найдена в базе данных!;Category was not found in the database!;Категория мәгълүматлар базасында табылмады!;Категори база даннӑйсенче тупӑнмарӗ!
ErrorDeleteCategory;Не удалось удалить категорию. Попробуйте позже.;Failed to delete category. Try again later.;Категорияне бетереп булмады. Соңрак кабатлап карагыз.;Категорине катӑртма пулмарӗ. Кайран тӑрӑшса пӑхӑр.
ErrorDeleteProduct;Не удалось удалить товар. Попробуйте позже.;Failed to delete product. Try again later.;Товарны бетереп булмады. Соңрак кабатлап карагыз.;Товара катӑртма пулмарӗ. Кайран тӑрӑшса пӑхӑр.
ErrorEditCategory;Не удалось отредактировать категорию. Попробуйте позже.;Failed to edit category. Try again later.;Категорияне үзгәртеп булмады. Соңрак кабатлап карагыз.;Категорине улӑштарма пулмарӗ. Кайран тӑрӑшса пӑхӑр.
ErrorEditProduct;Ошибка при редактировании товара;Error editing product;Товарны үзгәртү вакытында хата;Товар улӑштарнӑ чух йӑнӑш
ErrorEnterArticle;Введите артикул товара!;Enter product article number!;Товар артикулын кертегез!;Товар артикулне кӗртӗр!
ErrorEnterCorrectPrice;Введите корректную цену!;Enter a valid price!;Дөрес бәя кертегез!;Тӗрӗс хак кӗртӗр!
ErrorEnterCorrectQuantity;Введите корректное количество (целое положительное число)!;Enter a valid quantity (positive integer)!;Дөрес сан кертегез (бөтен уңай сан)!;Тӗрӗс шут кӗртӗр (пӗтӗм положителлӗ шут)!
ErrorEnterValidPrice;Введите корректную цену закупки!;Enter a valid purchase price!;Дөрес сатып алу бәясен кертегез!;Тӗрӗс илӳ хакне кӗртӗр!
ErrorEnterValidQuantity;Введите корректное количество товара!;Enter a valid product quantity!;Товарның дөрес санын кертегез!;Товарӑн тӗрӗс шутне кӗртӗр!
ErrorExportToCsvWithMessage;Ошибка при экспорте данных.;Error exporting data.;Мәгълүматны экспортлау вакытында хата.;Даннӑйсене экспортланӑ чух йӑнӑш.
ErrorFillCategory;Введите название категории!;Enter category name!;Категория исемен кертегез!;Категори ятне кӗртӗр!
ErrorFillFields;Заполните все обязательные поля!;Fill in all required fields!;Барлык мәҗбүри кырларны тутырыгыз!;Пӗтӗм кирлӗ полясене тултарӑр!
ErrorFixFormErrors;"Пожалуйста, исправьте ошибки в форме.
Поля, выделенные розовым, заполнены неверно.";"Please correct the errors in the form.
Fields highlighted in pink are filled in incorrectly.";"Формадагы хаталарны төзәтегез.
Алсу төс белән билгеләнгән кырлар дөрес тутырылмаган.";Йӑнӑш Тӳрлетни Форма Йӑнӑшсем
ErrorFormatColumnsMessage;Ошибка при отображении таблицы. Некоторые колонки могут быть отображены некорректно.;Error displaying the table. Some columns may be displayed incorrectly.;Таблицаны күрсәтү вакытында хата. Кайбер баганалар дөрес күрсәтелмәскә мөмкин.;Таблицӑна кӑтартнӑ чух йӑнӑш. Хӑш-пӗр колонкӑсем тӗрӗс кӑтартӑнмаҫҫӗ.
ErrorHighlightRow;Ошибка при подсветке строки;Error highlighting row;Юлны билгеләү вакытында хата;Йӗр палӑртнӑ чух йӑнӑш
ErrorImportNoData;Файл не содержит данных для импорта!;The file contains no data to import!;Файлда импорт өчен мәгълүмат юк!;Файлта импортлама даннӑйсем ҫук!
ErrorImportNotFound;Не найдено в каталоге;Not found in catalog;Каталогта табылмады;Каталогра тупӑнмарӗ
ErrorInsufficientStockWithDetails;"Недостаточно товара на складе!
Доступно: {0} {1}";"Not enough stock in the warehouse!
Available: {0} {1}";"Складта товар җитәрлек түгел!
Доступно: {0} {1}";"Складра товар ҫитмӗ!
Пур: {0} {1}"
ErrorLoadCategories;Не удалось загрузить категории;Failed to load categories;Категорияләрне йөкләп булмады;Категорисене загрузкӑлама пулмарӗ
ErrorLoadProduct;Не удалось загрузить товар;Failed to load product;Товарны йөкләп булмады;Товара загрузкӑлама пулмарӗ
ErrorLoadProductData;Не удалось загрузить данные товара;Failed to load product data;Товар мәгълүматларын йөкләп булмады;Товар даннӑйсене загрузкӑлама пулмарӗ
ErrorLoadProducts;Не удалось загрузить товары;Failed to load products;Товарларны йөкләп булмады;Товарсене загрузкӑлама пулмарӗ
ErrorLoadProductsList;Не удалось загрузить список товаров. Попробуйте позже.;Failed to load product list. Try again later.;Товарлар исемлеген йөкләп булмады. Соңрак кабатлап карагыз.;Ӑнӑҫмарӗ: загрузить список товарсен. Попробуйте позже.
ErrorLoadRecipients;Не удалось загрузить список получателей;Failed to load recipients list;Алучылар исемлеген йөкләү булмады;Илекенсен спискне тиеме пулмарӗ
ErrorLoadReportFormat;Ошибка при загрузке отчета;Error loading report;Хисапны йөкләү вакытында хата;Отчета загрузкӑланӑ чух йӑнӑш
ErrorLoadShipmentHistory;Не удалось загрузить историю отгрузок.;Failed to load shipment history.;Отгрузкалар тарихын йөкләп булмады.;Ӑсату историне загрузкӑлама пулмарӗ.
ErrorLoadSuppliers;Ошибка при загрузке поставщиков;Error loading suppliers;Тәэмин итүчеләрне йөкләү вакытында хата;Поставщиксене загрузкӑланӑ чух йӑнӑш
ErrorLoadUnits;Не удалось загрузить список единиц измерения;Failed to load unit list;Үлчәү берәмлекләре исемлеген йөкләү булмады;Виҫе пӗрчисен спискне тиеме пулмарӗ
ErrorLogout;Ошибка при выходе из системы;Logout error;Системадан чыгу вакытында хата;Системӑран тухнӑ чух йӑнӑш
ErrorNoAccess;У вас нет доступа к системе! Обратитесь к администратору.;You do not have access to the system! Contact the administrator.;Сезнең системага керү хокукыгыз юк! Администраторга мөрәҗәгать итегез.;Сире системӑна кӗме ирӗк ҫук! Администратор патне ҫаврӑнӑр.
ErrorNoDataToExport;Нет данных для экспорта;No data to export;Экспорт өчен мәгълүмат юк;Экспортлама даннӑйсем ҫук
ErrorNoItemsInShipment;Добавьте товары в список отгрузки!;Add products to the shipment list!;Отгрузка исемлегенә товарлар өстәгез!;Ӑсату списокне товарсем хушӑр!
ErrorNoPositions;Добавьте хотя бы одну позицию!;Add at least one item!;Кимендә бер позиция өстәгез!;Пӗр позици те пулин хушӑр!
ErrorNoProducts;В базе данных нет товаров! Добавьте товары через каталог.;There are no products in the database! Add products through the catalog.;Мәгълүматлар базасында товарлар юк! Товарларны каталог аша өстәгез.;Йӑнӑш ҫук Товарсем
ErrorNoSuppliers;В базе данных нет поставщиков! Добавьте поставщиков.;There are no suppliers in the database! Add suppliers.;Мәгълүматлар базасында тәэмин итүчеләр юк! Тәэмин итүчеләрне өстәгез.;Йӑнӑш ҫук Поставщиксем
ErrorOpenAddCategoryForm;Не удалось открыть форму добавления категории;Failed to open the category add form;Категория өстәү формасын ачып булмады;Категори хушмалли формӑна уҫма пулмарӗ
ErrorOpenAddProductForm;Не удалось открыть форму добавления товара;Failed to open the product add form;Товар өстәү формасын ачып булмады;Товар хушмалли формӑна уҫма пулмарӗ
ErrorOpenCurrencyForm;Ошибка при открытии формы выбора валюты;Error opening the currency selection form;Валюта сайлау формасын ачканда хата;Валютӑ суйламалли формӑна уҫнӑ чух йӑнӑш
ErrorOpenDeleteCategoryForm;Не удалось удалить категорию;Failed to delete category;Категорияне бетереп булмады;Категорине катӑртма пулмарӗ
ErrorOpenEditCategoryForm;Не удалось открыть форму редактирования категории;Failed to open the category edit form;Категорияне үзгәртү формасын ачып булмады;Категори улӑштармалли формӑна уҫма пулмарӗ
ErrorOpenHistory;Не удалось открыть историю;Failed to open history;Тарихны ачып булмады;Историне уҫма пулмарӗ
ErrorOpenShipmentForm;Не удалось открыть форму отгрузки;Failed to open shipment form;Отгрузка формасын ачып булмады;Ӑсату формине уҫма пулмарӗ
ErrorProductInShipments;"Невозможно удалить товар ""{0}"", так как он используется в {1} отгрузках.";"Cannot delete product ""{0}"" because it is used in {1} shipments.";"""{0}"" товарын бетереп булмый, чөнки ул {1} отгрузкада кулланыла.";"""{0}"" товарне катӑртма май ҫук, мӗншӗн тесен вӑл {1} ӑсатура кӗрет."
ErrorProductNotFound;"Товар с артикулом ""{0}"" не найден!";"Product with article number ""{0}"" was not found!";"""{0}"" артикуллы товар табылмады!";"Товар с артикулом ""{0}"" тупӑнмарӗ!"
ErrorProductNotFoundGeneric;Товар не найден!;Product not found!;Товар табылмады!;Товар тупӑнмарӗ!
ErrorRegistration;Ошибка при регистрации. Попробуйте позже.;Registration error. Try again later.;Теркәлү вакытында хата. Соңрак кабатлап карагыз.;Регистраци чух йӑнӑш. Кайран тӑрӑшса пӑхӑр.
ErrorRoleNotFound;"Ошибка: роль 'Кладовщик' не найдена!
Обратитесь к администратору.";"Error: role 'Storekeeper' was not found!
Contact the administrator.";"Хата: 'Складчы' роле табылмады!
Администраторга мөрәҗәгать итегез.";Йӑнӑш Роль мар тупӑннӑ
ErrorSelectCategory;Выберите категорию!;Select a category!;Категорияне сайлагыз!;Категори суйласа илӗр!
ErrorSelectCategoryForDelete;Выберите категорию для удаления!;Select a category to delete!;Бетерү өчен категорияне сайлагыз!;Катӑртмалли категорине суйласа илӗр!
ErrorSelectProduct;Выберите товар из списка!;Select a product from the list!;Исемлектән товар сайлагыз!;Списокран товар суйласа илӗр!
ErrorSelectRecipient;Выберите получателя из списка!;Select a recipient from the list!;Исемлектән алучыны сайлагыз!;Списокран илекене суйласа илӗр!
ErrorSelectSupplier;Пожалуйста, выберите поставщика!;Please select a supplier!;Тәэмин итүчене сайлагыз!;Поставщик суйласа илӗр!
ErrorSelectUnit;Выберите единицу измерения!;Select a unit of measure!;Үлчәү берәмлеген сайлагыз!;Виҫе пӗрлӗхне суйласа илӗр!
ErrorSupplyFailed;Ошибка при подтверждении поставки.;Error confirming supply.;Поставканы раслау вакытында хата.;Поставкӑна ҫирӗплетнӗ чух йӑнӑш.
ErrorUpdateProduct;Не удалось обновить товар. Попробуйте позже.;Failed to update product. Try again later.;Товарны яңартып булмады. Соңрак кабатлап карагыз.;Товара ҫӗнетме пулмарӗ. Кайран тӑрӑшса пӑхӑр.
ErrorUserExists;Пользователь с таким логином уже существует!;A user with this login already exists!;Мондый логинлы кулланучы инде бар!;Ҫак логинпа усӑ куракан пур ӗнтӗ!
ErrorUserNotAuthorized;Ошибка: пользователь не авторизован!;Error: user is not authorized!;Хата: кулланучы авторизацияләнмәгән!;Йӑнӑш: усӑ куракан авторизаци иртмен!
ErrorWithDetails;Ошибка.;Error.;Хата.;Йӑнӑш.
ErrorSurnameLength;Фамилия должна быть от 2 до 100 символов.;Last name must be from 2 to 100 characters.;Фамилия 2 дән 100 символга кадәр булырга тиеш.;Йӑнӑш Фамили Вӑрӑмлӑх
ErrorEnterSurname;Введите фамилию;Enter last name;Фамилияне кертегез;Фамили кӗртӗр
ErrorInvalidSurname;Фамилия должна содержать только русские буквы, дефис и пробел.;Last name must contain only Russian letters, hyphen and space.;Фамилиядә рус хәрефләре, дефис һәм пробел гына булырга тиеш.;Йӑнӑш тӗрӗс мар Фамили
ErrorEnterName;Введите имя;Enter first name;Исемне кертегез;Ята кӗртӗр
ErrorInvalidName;Имя должно содержать только русские буквы, дефис и пробел.;First name must contain only Russian letters, hyphen and space.;Исемдә рус хәрефләре, дефис һәм пробел гына булырга тиеш.;Йӑнӑш тӗрӗс мар Ят
ErrorNameLength;Имя должно быть от 2 до 100 символов.;First name must be from 2 to 100 characters.;Исем 2 дән 100 символга кадәр булырга тиеш.;Йӑнӑш Ят Вӑрӑмлӑх
ErrorInvalidLastname;Отчество должно содержать только русские буквы, дефис и пробел.;Patronymic must contain only Russian letters, hyphen and space.;Ата исемендә рус хәрефләре, дефис һәм пробел гына булырга тиеш.;Йӑнӑш тӗрӗс мар Ашшӗ ячӗ
ErrorLastnameLength;Отчество должно быть от 2 до 100 символов.;Patronymic must be from 2 to 100 characters.;Ата исеме 2 дән 100 символга кадәр булырга тиеш.;Йӑнӑш Ашшӗ ячӗ Вӑрӑмлӑх
ErrorEnterLogin;Введите логин;Enter login;Логинны кертегез;Логин кӗртӗр
ErrorInvalidLogin;Логин может содержать только английские буквы, цифры и подчеркивание.;Login may contain only English letters, digits and underscore.;Логинда инглиз хәрефләре, саннар һәм аскы сызык кына булырга мөмкин.;Йӑнӑш тӗрӗс мар Логин
ErrorLoginLength;Логин должен быть от 3 до 20 символов.;Login must be from 3 to 20 characters.;Логин 3 тән 20 символга кадәр булырга тиеш.;Йӑнӑш Логин Вӑрӑмлӑх
ErrorEnterPassword;Введите пароль;Enter password;Серсүзне кертегез;Пароль кӗртӗр
ErrorInvalidPassword;Пароль должен содержать минимум 6 символов, хотя бы одну цифру и одну букву.;Password must contain at least 6 characters, at least one digit and one letter.;Серсүз кимендә 6 символдан, бер саннан һәм бер хәрефтән торырга тиеш.;Йӑнӑш тӗрӗс мар Пароль
ErrorConfirmPassword;Подтвердите пароль;Confirm password;Серсүзне раслагыз;Парольне ҫирӗплетӗр
ErrorPasswordMismatch;Пароли не совпадают!;Passwords do not match!;Серсүзләр туры килми!;Парольсем пӗр килмеҫҫӗ!
ErrorGeneric;Произошла ошибка. Попробуйте позже.;An error occurred. Try again later.;Хата килеп чыкты. Соңрак кабатлап карагыз.;Йӑнӑш пулчӗ. Кайран тӑрӑшса пӑхӑр.
ErrorCurrencyRatesLoad;Критическая ошибка при загрузке курсов валют;Critical error loading currency rates;Валюта курсларын йөкләү вакытында критик хата;Йӑнӑш Валюта Курссем Йӗклени
CategoryNone;Без категории;No category;Категориясез;Категорисӗр
InfoCategoryNameNotChanged;Название категории не изменилось;Category name was not changed;Категория исеме үзгәрмәде;Категори ячӗ улӑшман
InfoHistoryEmpty;Задайте корректно период;Set the period correctly;Периодны дөрес күрсәтегез;Периодне тӗрӗс кӑтартӑр
InfoNoDataForPeriod;Нет данных для истории;No data for history;Тарих өчен мәгълүмат юк;Истори валли даннӑйсем ҫук
InfoNoPositionsToDisplay;Нет позиций для отображения;No items to display;Күрсәтү өчен позицияләр юк;Кӑтартмалли позицийсем ҫук
InfoNoProductsForShipment;Нет товаров в наличии для отгрузки!;No products in stock for shipment!;Отгрузка өчен складта товарлар юк!;Нет товарсен в наличии для отгрузки!
InfoNoRecipientsAvailable;"Нет доступных получателей!
Обратитесь к администратору для добавления компаний.";"No recipients available!
Contact the administrator to add companies.";"Алучылар юк!
Компанияләр өстәү өчен администраторга мөрәҗәгать итегез.";Илекенсем ҫук! Компанисем хушма администратора ҫырӑр.
InfoUsingCachedCurrencies;Используются сохранённые курсы валют (интернет недоступен);Saved currency rates are used (internet is unavailable);Сакланган валюта курслары кулланыла (интернет юк);Информаци Усӑ курни Кэш Валютӑсем
InfoCurrencyRatesLoaded;Курсы валют успешно загружены;Currency rates loaded successfully;Валюта курслары уңышлы йөкләнде;Валютӑ курсӗсем уңӑҫлӑ загрузкӑланчӗҫ
JsonFileFilter;JSON files (*.json)|*.json|All files (*.*)|*.*;JSON files (*.json)|*.json|All files (*.*)|*.*;JSON files (*.json)|*.json|All files (*.*)|*.*;JSON files (*.json)|*.json|All files (*.*)|*.*
ImportSupplyTitle;Импорт данных поставки из JSON файла;Import supply data from JSON file;JSON файлыннан поставка мәгълүматларын импортлау;Импорт Поставка Ят
SaveCsvFileTitle;Сохранить CSV файл;Save CSV file;CSV файлны саклау;Сохранени CSV Файл Ят
LoadingCurrencies;Загрузка курсов валют...;Loading currency rates...;Валюта курслары йөкләнә...;Валютӑ курсӗсене загрузкӑлани...
WarningNoDataForPeriod;Задайте корректно период;Set the period correctly;Периодны дөрес күрсәтегез;Периодне тӗрӗс кӑтартӑр
WarningNoHistoryForPeriod;Задайте корректно период;Set the period correctly;Периодны дөрес күрсәтегез;Периодне тӗрӗс кӑтартӑр
NoCategoriesForDelete;Нет доступных категорий для удаления;No categories available for deletion;Бетерү өчен категорияләр юк;Катӑртма пултаракан категорисем ҫук
NoCurrenciesAvailable;Нет доступных валют;No currencies available;Валюталар юк;Валютӑсем ҫук
PleaseSelectCurrency;Пожалуйста, выберите валюту;Please select a currency;Валютаны сайлагыз;Валютӑ суйласа илӗр
